CODIGO_ANTERIOR,NOME_ANTERIOR,NOME_SUGERIDO,GRUPO,SUBGRUPO,GRUPO_SUBGRUPO
MP0101,Chapa Inox 430  1.2 mm,CHAPA INOX 430 1.2MM,01,01,01.01
MP0102,Chapa Inox 430 1.5 mm,CHAPA INOX 430 1.5MM,01,01,01.01
MP0103,Chapa Inox 304 1.2 mm,CHAPA INOX 304 1.2MM,01,01,01.01
MP0104,Chapa Inox 304 1.5 mm,CHAPA INOX 304 1.5MM,01,01,01.01
MP0105,Chapa Pintada 1.2 mm,CHAPA PINTADA 1.2MM,01,01,01.01
MP0106,Chapa Pintada 1.5 mm,CHAPA PINTADA 1.5MM,01,01,01.01
MP0107,Chapa Aluminio 1.2 mm,CHAPA ALUMÍNIO 1.2MM,01,01,01.01
MP0108,Chapa Aluminio 2.0 mm,CHAPA ALUMÍNIO 2.0MM,01,01,01.01
MP0109,Chapa Antiderrapante,CHAPA ANTIDERRAPANTE,01,01,01.01
MP0110,Chapa Galvanizada,CHAPA GALVANIZADA #14,01,01,01.01
MP0111,Corte Dobra Inox,CORTE E DOBRA INOX,05,02,05.02
MP0112,Corte Dobra Aluminio,CORTE E DOBRA ALUMÍNIO,05,02,05.02
MP0113,Parafuso e conjunto 1/4',PARAFUSO CONJUNTO 1/4",01,04,01.04
MP0114,Parafuso e conjunto 1/2',PARAFUSO CONJUNTO 1/2",01,04,01.04
MP0115,Tubo Metal,TUBO ESTRUTURAL METÁLICO,01,02,01.02
MP0116,Parafuso Frances e conjunto,PARAFUSO FRANCÊS CONJUNTO,01,04,01.04
MP0117,Motor 12 cv - 1400 kg,MOTOR 12CV 1400KG,06,01,06.01
MP0118,Cilindro Hidraulico,CILINDRO HIDRÁULICO,05,03,05.03
MP0119,Motor 7.5 cv - 630 kg,MOTOR 7.5CV 630KG,06,01,06.01
MP0120,Motor 10 cv - 800 kg,MOTOR 10CV 800KG,06,01,06.01
MP0121,Motor 10 cv - 1.000 kg,MOTOR 10CV 1000KG,06,01,06.01
MP0122,Travessa 3mm,TRAVESSA 3MM,05,01,05.01
MP0123,Travessa 4mm,TRAVESSA 4MM,05,01,05.01
MP0124,Travessa 6mm,TRAVESSA 6MM,05,01,05.01
MP0125,Longarina 3mm,LONGARINA 3MM,05,01,05.01
MP0126,Longarina 4mm,LONGARINA 4MM,05,01,05.01
MP0127,Longarina 6mm,LONGARINA 6MM,05,01,05.01
MP0128,Perfil Interno 3mm,PERFIL INTERNO 3MM,05,01,05.01
MP0129,Perfil Interno 4mm,PERFIL INTERNO 4MM,05,01,05.01
MP0130,Perfil Interno 6mm,PERFIL INTERNO 6MM,05,01,05.01
MP0131,Perfil Externo 3mm,PERFIL EXTERNO 3MM,05,01,05.01
MP0132,Perfil Externo 4mm,PERFIL EXTERNO 4MM,05,01,05.01
MP0133,Perfil Externo 6mm,PERFIL EXTERNO 6MM,05,01,05.01
MP0134,Polia,POLIA TRAÇÃO,03,03,03.03
MP0135,Cabo aco 5/16,CABO DE AÇO 5/16",03,04,03.04
MP0136,Cabo aco 3/8,CABO DE AÇO 3/8",03,04,03.04
MP0137,Corpo da polia,CORPO POLIA,03,03,03.03
MP0138,Contrapeso comum,CONTRAPESO COMUM,03,06,03.06
MP0139,Contrapeso especial,CONTRAPESO ESPECIAL,03,06,03.06
MP0140,Pedra pequena,PEDRA CONTRAPESO PEQUENA,03,06,03.06
MP0141,Pedra grande,PEDRA CONTRAPESO GRANDE,03,06,03.06
MP0142,Guia elevador,GUIA ELEVADOR,03,01,03.01
MP0143,Suporte Guia,SUPORTE GUIA,03,02,03.02
MP0144,Guia Contrapeso,GUIA CONTRAPESO,03,01,03.01
MP0145,Suporte Guia Contrapeso,SUPORTE GUIA CONTRAPESO,03,02,03.02
MP0146,Barra Roscada 3m,BARRA ROSCADA 1/2" - 3M,01,03,01.03
MP0147,Suporte Tirante Inferior,SUPORTE TIRANTE INFERIOR,03,04,03.04
MP0148,Suporte Tirante Superior,SUPORTE TIRANTE SUPERIOR,03,04,03.04
MP0149,Barra Soleira,BARRA SOLEIRA,01,03,01.03
MP0150,Chapa Corredica,CHAPA CORREDIÇA,01,01,01.01
MP0151,Chapa do Freio,CHAPA FREIO,01,01,01.01
MP0152,Pe de cabeceira,PÉ DE CABECEIRA,05,03,05.03
MP0153,Suporte da polia,SUPORTE POLIA,03,03,03.03
